onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	1	1	359	22
16.0	0.5	3	1	1	1	471	17
22.0	0.5	2	1	1	1	606	9
31.0	0.5	6	2	2	1	631	22
38.0	0.5	3	1	1	1	722	25
43.0	0.5	1	1	1	1	584	1
49.0	0.5	3	1	1	1	545	26
56.0	0.5	5	2	2	1	653	9
62.0	0.5	2	1	1	1	655	10
67.0	0.5	3	1	1	1	734	24
73.0	0.5	6	2	2	1	575	17
79.0	0.5	6	2	2	1	736	25
86.0	0.5	1	1	1	1	722	2
93.0	0.5	4	2	2	1	653	1
101.0	0.5	3	1	1	1	678	21
109.0	0.5	6	2	2	1	719	26
120.0	0.5	3	1	1	1	681	32
132.0	0.5	3	1	1	1	554	27
141.0	0.5	3	1	1	1	555	23
151.0	0.5	5	2	2	1	705	10
162.0	0.5	4	2	2	1	604	2
172.0	0.5	1	1	1	1	726	4
180.0	0.5	6	2	2	1	616	24
185.0	0.5	1	1	1	1	696	7
195.0	0.5	6	2	2	1	674	21
204.0	0.5	2	1	1	1	699	13
216.0	0.5	3	1	1	1	700	28
228.0	0.5	6	2	2	1	712	23
238.0	0.5	6	2	2	1	665	32
243.0	0.5	1	1	1	1	723	5
248.0	0.5	6	2	2	1	756	27
260.0	0.5	4	2	2	1	622	4
267.0	0.5	2	1	1	1	654	16
278.0	0.5	4	2	2	1	892	7
284.0	0.5	1	1	1	1	684	8
296.0	0.5	5	2	2	1	686	13
303.0	0.5	3	1	1	1	809	30
311.0	0.5	3	1	1	1	784	31
318.0	0.5	2	1	1	1	796	14
325.0	0.5	6	2	2	1	554	28
335.0	0.5	4	2	2	1	646	5
344.0	0.5	6	2	2	1	623	30
352.0	0.5	3	1	1	1	532	18
361.0	0.5	4	2	2	1	674	8
373.0	0.5	2	1	1	1	677	15
381.0	0.5	5	2	2	1	808	16
389.0	0.5	5	2	2	1	651	14
394.0	0.5	6	2	2	1	581	31
403.0	0.5	1	1	1	1	677	6
412.0	0.5	3	1	1	1	670	29
423.0	0.5	3	1	1	1	778	20
428.0	0.5	5	2	2	1	683	15
438.0	0.5	3	1	1	1	580	19
448.0	0.5	6	2	2	1	581	20
459.0	0.5	2	1	1	1	579	12
469.0	0.5	6	2	2	1	675	29
477.0	0.5	2	1	1	1	605	11
483.0	0.5	6	2	2	1	707	19
495.0	0.5	4	2	2	1	677	6
500.0	0.5	5	2	2	1	772	12
512.0	0.5	1	1	1	1	766	3
523.0	0.5	5	2	2	1	598	11
532.0	0.5	6	2	2	1	616	18
538.0	0.5	4	2	2	1	579	3
