onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	1	1	555	22
16.0	0.5	3	1	1	1	660	17
22.0	0.5	2	1	1	1	632	9
31.0	0.5	6	2	2	1	801	22
38.0	0.5	3	1	1	1	547	25
43.0	0.5	1	1	1	1	756	1
49.0	0.5	3	1	1	1	954	26
56.0	0.5	5	2	2	1	645	9
62.100000000000001	0.5	2	1	1	1	841	10
67.0	0.5	3	1	1	1	761	24
73.0	0.5	6	2	2	1	611	17
79.0	0.5	6	2	2	1	803	25
86.0	0.5	1	1	1	1	837	2
93.0	0.5	4	2	2	1	694	1
101.0	0.5	3	1	1	1	750	21
109.0	0.5	6	2	2	1	858	26
120.0	0.5	3	1	1	1	908	32
132.0	0.5	3	1	1	1	710	27
141.0	0.5	3	1	1	1	727	23
151.0	0.5	5	2	2	1	811	10
162.0	0.5	4	2	2	1	1133	2
172.0	0.5	1	1	1	1	781	4
180.0	0.5	6	2	2	1	679	24
185.0	0.5	1	1	1	1	880	7
195.0	0.5	6	2	2	1	702	21
204.0	0.5	2	1	1	1	806	13
216.0	0.5	3	1	1	1	1048	28
228.09999999999999	0.5	6	2	2	1	795	23
238.0	0.5	6	2	1	0	1251	32
243.0	0.5	1	1	1	1	1086	5
248.0	0.5	6	2	2	1	727	27
260.0	0.5	4	2	2	1	720	4
267.10000000000002	0.5	2	1	1	1	788	16
278.0	0.5	4	2	2	1	844	7
284.0	0.5	1	1	1	1	823	8
296.0	0.5	5	2	2	1	849	13
303.0	0.5	3	1	1	1	753	30
311.0	0.5	3	1	1	1	827	31
318.0	0.5	2	1	1	1	795	14
325.0	0.5	6	2	2	1	740	28
335.0	0.5	4	2	2	1	744	5
344.0	0.5	6	2	2	1	787	30
352.0	0.5	3	1	1	1	898	18
361.0	0.5	4	2	2	1	1044	8
373.0	0.5	2	1	1	1	878	15
381.0	0.5	5	2	2	1	658	16
389.0	0.5	5	2	2	1	1049	14
394.0	0.5	6	2	2	1	596	31
403.0	0.5	1	1	1	1	901	6
412.0	0.5	3	1	1	1	1066	29
423.0	0.5	3	1	-1	0	0	20
428.0	0.5	5	2	2	1	645	15
438.10000000000002	0.5	3	1	1	1	840	19
448.0	0.5	6	2	2	1	808	20
459.0	0.5	2	1	1	1	851	12
469.0	0.5	6	2	2	1	644	29
477.10000000000002	0.5	2	1	1	1	1241	11
483.10000000000002	0.5	6	2	2	1	657	19
495.0	0.5	4	2	2	1	627	6
500.0	0.5	5	2	2	1	556	12
512.10000000000002	0.5	1	1	-1	0	0	3
523.10000000000002	0.5	5	2	2	1	706	11
532.0	0.5	6	2	2	1	611	18
538.0	0.5	4	2	2	1	644	3
