onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	1	1	990	17
16.0	0.5	1	1	1	1	750	2
23.0	0.5	3	1	1	1	568	22
33.0	0.5	6	2	1	0	354	17
41.0	0.5	3	1	1	1	786	25
49.0	0.5	3	1	1	1	685	26
61.0	0.5	6	2	2	1	732	22
68.0	0.5	1	1	1	1	713	1
76.0	0.5	3	2	1	0	513	24
88.0	0.5	2	1	-1	0	0	9
93.0	0.5	4	2	2	1	1102	2
100.0	0.5	6	2	2	1	1201	25
108.0	0.5	3	1	1	1	825	32
114.0	0.5	6	2	2	1	914	26
123.0	0.5	2	1	1	1	1283	10
129.0	0.5	6	2	2	1	985	32
135.0	0.5	4	2	2	1	919	1
143.0	0.5	1	1	1	1	930	4
154.0	0.5	3	1	1	1	778	23
160.0	0.5	6	2	2	1	939	24
166.0	0.5	3	1	1	1	687	21
177.0	0.5	5	2	2	1	873	9
182.0	0.5	2	1	-1	0	0	13
193.0	0.5	3	1	1	1	635	27
201.0	0.5	1	1	1	1	937	7
206.0	0.5	5	2	2	1	717	10
215.0	0.5	3	1	1	1	838	28
220.0	0.5	6	2	2	1	833	23
229.0	0.5	2	1	1	1	675	16
238.0	0.5	4	2	-1	0	0	4
247.0	0.5	6	2	-1	0	0	27
259.0	0.5	6	2	2	1	942	21
266.0	0.5	1	1	-1	0	0	5
278.0	0.5	5	2	2	1	861	13
285.0	0.5	4	2	2	1	893	7
290.0	0.5	3	1	1	1	806	30
297.0	0.5	3	1	1	1	903	31
306.0	0.5	5	2	2	1	1002	16
317.0	0.5	2	1	-1	0	0	14
327.0	0.5	6	2	2	1	878	28
332.0	0.5	1	1	1	1	946	8
342.0	0.5	6	2	2	1	739	30
352.0	0.5	2	1	1	1	1277	15
364.0	0.5	4	2	2	1	1037	8
374.0	0.5	6	2	2	1	850	31
386.0	0.5	4	2	2	1	733	5
392.0	0.5	3	1	1	1	917	20
402.0	0.5	5	2	2	1	665	14
412.0	0.5	3	1	1	1	771	29
421.0	0.5	1	1	1	1	857	6
427.0	0.5	5	2	2	1	733	15
435.0	0.5	2	1	1	1	1142	12
443.0	0.5	3	1	1	1	759	18
450.0	0.5	3	1	1	1	736	19
455.0	0.5	6	2	1	0	844	20
460.0	0.5	6	2	2	1	845	29
471.0	0.5	1	1	1	1	727	3
480.0	0.5	6	2	2	1	1271	19
490.0	0.5	4	2	1	0	571	6
501.0	0.5	6	2	2	1	933	18
512.0	0.5	2	1	1	1	711	11
519.0	0.5	5	2	2	1	734	12
525.0	0.5	4	2	2	1	816	3
537.0	0.5	5	2	2	1	998	11
