onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	1	1	438	22
12.0	0.5	3	1	-1	0	0	17
21.0	0.5	3	1	1	1	670	25
27.0	0.5	6	2	2	1	1031	22
33.0	0.5	1	1	1	1	706	1
45.0	0.5	2	1	1	1	650	9
51.0	0.5	3	1	1	1	509	26
61.0	0.5	6	2	2	1	835	25
66.0	0.5	2	1	1	1	726	10
76.0	0.5	3	1	1	1	643	24
86.0	0.5	6	2	-1	0	0	17
93.0	0.5	1	1	1	1	646	2
98.0	0.5	4	2	2	1	791	1
110.0	0.5	3	1	1	1	649	21
117.0	0.5	5	2	2	1	681	9
129.0	0.5	6	2	2	1	965	26
141.0	0.5	1	1	1	1	583	4
150.0	0.5	3	1	1	1	615	27
162.0	0.5	1	1	1	1	571	7
170.0	0.5	5	2	2	1	879	10
179.0	0.5	4	2	2	1	805	2
190.0	0.5	3	1	1	1	609	32
198.0	0.5	6	2	2	1	627	24
209.0	0.5	3	1	1	1	739	23
214.0	0.5	6	2	2	1	704	21
219.09999999999999	0.5	2	1	1	1	704	13
231.0	0.5	3	1	1	1	552	28
243.0	0.5	6	2	2	1	908	23
255.0	0.5	4	2	2	1	781	4
264.0	0.5	1	1	1	1	689	5
271.0	0.5	6	2	2	1	760	27
282.0	0.5	6	2	2	1	821	32
292.0	0.5	2	1	1	1	654	16
301.0	0.5	4	2	2	1	688	7
307.0	0.5	3	1	1	1	648	31
315.0	0.5	5	2	2	1	684	13
320.0	0.5	1	1	1	1	652	8
330.0	0.5	3	1	1	1	694	30
341.0	0.5	2	1	1	1	635	14
346.0	0.5	6	2	2	1	667	28
355.0	0.5	4	2	1	0	603	5
362.0	0.5	6	2	2	1	654	30
370.0	0.5	3	1	1	1	698	18
376.0	0.5	4	2	2	1	690	8
381.0	0.5	2	1	1	1	699	15
392.0	0.5	5	2	2	1	724	16
403.0	0.5	5	2	2	1	630	14
413.0	0.5	6	2	2	1	655	31
420.10000000000002	0.5	1	1	1	1	722	6
431.0	0.5	3	1	1	1	666	29
440.0	0.5	3	1	1	1	631	20
451.0	0.5	5	2	2	1	1039	15
457.0	0.5	3	1	1	1	587	19
462.0	0.5	6	2	2	1	723	20
468.0	0.5	2	1	1	1	949	12
475.0	0.5	6	2	2	1	726	29
485.0	0.5	1	1	2	0	704	3
491.0	0.5	6	2	2	1	768	18
500.0	0.5	4	2	2	1	1092	6
510.0	0.5	6	2	2	1	630	19
518.0	0.5	2	1	1	1	662	11
526.10000000000002	0.5	4	2	2	1	627	3
534.0	0.5	5	2	2	1	724	12
542.0	0.5	5	2	2	1	668	11
