onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	1	1	719	17
16.0	0.5	1	1	1	1	529	2
23.0	0.5	3	1	1	1	560	22
33.0	0.5	6	2	1	0	480	17
41.0	0.5	3	1	1	1	820	25
49.0	0.5	3	1	1	1	590	26
61.0	0.5	6	2	2	1	865	22
68.0	0.5	1	1	-1	0	0	1
76.0	0.5	3	2	-1	0	0	24
88.0	0.5	2	1	1	1	937	9
93.0	0.5	4	2	2	1	1009	2
100.0	0.5	6	2	2	1	967	25
108.0	0.5	3	1	1	1	876	32
114.0	0.5	6	2	2	1	949	26
123.0	0.5	2	1	1	1	846	10
129.0	0.5	6	2	2	1	1119	32
135.0	0.5	4	2	2	1	955	1
143.0	0.5	1	1	1	1	979	4
154.0	0.5	3	1	1	1	917	23
160.0	0.5	6	2	2	1	1087	24
166.0	0.5	3	1	1	1	911	21
177.0	0.5	5	2	2	1	944	9
182.0	0.5	2	1	1	1	923	13
193.0	0.5	3	1	1	1	730	27
201.0	0.5	1	1	1	1	887	7
206.0	0.5	5	2	2	1	1049	10
215.0	0.5	3	1	-1	0	0	28
220.0	0.5	6	2	2	1	1036	23
229.0	0.5	2	1	-1	0	0	16
238.0	0.5	4	2	2	1	942	4
247.0	0.5	6	2	2	1	1227	27
259.0	0.5	6	2	2	1	930	21
266.0	0.5	1	1	1	1	1253	5
278.0	0.5	5	2	2	1	1070	13
285.0	0.5	4	2	2	1	1090	7
290.0	0.5	3	1	1	1	1140	30
297.0	0.5	3	1	-1	0	0	31
306.0	0.5	5	2	2	1	1014	16
317.0	0.5	2	1	-1	0	0	14
327.0	0.5	6	2	2	1	1128	28
332.0	0.5	1	1	1	1	1005	8
342.0	0.5	6	2	2	1	1070	30
352.0	0.5	2	1	1	1	975	15
364.0	0.5	4	2	2	1	977	8
374.0	0.5	6	2	2	1	980	31
386.0	0.5	4	2	2	1	886	5
392.0	0.5	3	1	1	1	944	20
402.0	0.5	5	2	2	1	946	14
412.0	0.5	3	1	1	1	893	29
421.0	0.5	1	1	1	1	887	6
427.0	0.5	5	2	2	1	1157	15
435.0	0.5	2	1	1	1	1088	12
443.0	0.5	3	1	1	1	811	18
450.0	0.5	3	1	1	1	835	19
455.0	0.5	6	2	2	1	982	20
460.0	0.5	6	2	2	1	996	29
471.0	0.5	1	1	1	1	830	3
480.0	0.5	6	2	2	1	858	19
490.0	0.5	4	2	2	1	987	6
501.0	0.5	6	2	2	1	911	18
512.0	0.5	2	1	1	1	855	11
519.0	0.5	5	2	-1	0	0	12
525.0	0.5	4	2	-1	0	0	3
537.0	0.5	5	2	2	1	828	11
